"filename", "language", "TypeScript", "HTML", "JSON", "vue", "Markdown", "PostCSS", "YAML", "XML", "comment", "blank", "total"
"d:\workspace\economy34-vitesse\src\components\modals\AddWorld.vue", "vue", 0, 0, 0, 140, 0, 0, 0, 0, 0, 12, 152
"d:\workspace\economy34-vitesse\src\components\modals\RitualCircle.vue", "vue", 0, 0, 0, 111, 0, 0, 0, 0, 0, 12, 123
"d:\workspace\economy34-vitesse\src\components\modals\SaveLoad.vue", "vue", 0, 0, 0, 112, 0, 0, 0, 0, 0, 11, 123
"d:\workspace\economy34-vitesse\src\components\modals\Share.vue", "vue", 0, 0, 0, 65, 0, 0, 0, 0, 0, 8, 73
"d:\workspace\economy34-vitesse\src\components\modals\ShareLoad.vue", "vue", 0, 0, 0, 59, 0, 0, 0, 0, 0, 7, 66
"d:\workspace\economy34-vitesse\src\components\modals\SlightlyUsed.vue", "vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 8, 107
"d:\workspace\economy34-vitesse\src\components\small\AnythingInput.vue", "vue", 0, 0, 0, 107, 0, 0, 0, 0, 0, 14, 121
"d:\workspace\economy34-vitesse\src\components\small\CharacterInput.vue", "vue", 0, 0, 0, 77, 0, 0, 0, 0, 0, 11, 88
"d:\workspace\economy34-vitesse\src\components\small\Desc.vue", "vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"d:\workspace\economy34-vitesse\src\components\small\ModeButton.vue", "vue", 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\workspace\economy34-vitesse\src\data\binding.ts", "TypeScript", 717, 0, 0, 0, 0, 0, 0, 0, 5, 63, 785
"d:\workspace\economy34-vitesse\src\data\characters.json", "JSON", 0, 0, 147846, 0, 0, 0, 0, 0, 0, 2, 147848
"d:\workspace\economy34-vitesse\src\data\characters3.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\workspace\economy34-vitesse\src\data\constatnts.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 13, 140
"d:\workspace\economy34-vitesse\src\data\heritage.ts", "TypeScript", 591, 0, 0, 0, 0, 0, 0, 0, 1, 36, 628
"d:\workspace\economy34-vitesse\src\data\intensity.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 3, 155
"d:\workspace\economy34-vitesse\src\data\origin.ts", "TypeScript", 115, 0, 0, 0, 0, 0, 0, 0, 0, 8, 123
"d:\workspace\economy34-vitesse\src\data\rules.ts", "TypeScript", 202, 0, 0, 0, 0, 0, 0, 0, 0, 27, 229
"d:\workspace\economy34-vitesse\src\data\talents.ts", "TypeScript", 962, 0, 0, 0, 0, 0, 0, 0, 22, 137, 1121
"d:\workspace\economy34-vitesse\src\data\userCharacters.json", "JSON", 0, 0, 255, 0, 0, 0, 0, 0, 0, 1, 256
"d:\workspace\economy34-vitesse\src\data\userWorlds.json", "JSON", 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 311
"d:\workspace\economy34-vitesse\src\data\waifu_perks.ts", "TypeScript", 1099, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1104
"d:\workspace\economy34-vitesse\src\data\worlds.json", "JSON", 0, 0, 1472, 0, 0, 0, 0, 0, 0, 0, 1472
"d:\workspace\economy34-vitesse\src\logic\index.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"d:\workspace\economy34-vitesse\src\logic\misc.ts", "TypeScript", 94, 0, 0, 0, 0, 0, 0, 0, 1, 7, 102
"d:\workspace\economy34-vitesse\src\logic\toggles.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\workspace\economy34-vitesse\src\main.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 3, 4, 38
"d:\workspace\economy34-vitesse\src\pages\README.md", "Markdown", 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 21
"d:\workspace\economy34-vitesse\src\pages\[...all].vue", "vue", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\workspace\economy34-vitesse\src\pages\about.vue", "vue", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"d:\workspace\economy34-vitesse\src\pages\binding\index.vue", "vue", 0, 0, 0, 298, 0, 0, 0, 0, 0, 28, 326
"d:\workspace\economy34-vitesse\src\pages\changelog.vue", "vue", 0, 0, 0, 122, 0, 0, 0, 0, 0, 3, 125
"d:\workspace\economy34-vitesse\src\pages\companions\index.vue", "vue", 0, 0, 0, 226, 0, 0, 0, 0, 0, 23, 249
"d:\workspace\economy34-vitesse\src\pages\credits.vue", "vue", 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"d:\workspace\economy34-vitesse\src\pages\everything.vue", "vue", 0, 0, 0, 104, 0, 0, 0, 0, 0, 20, 124
"d:\workspace\economy34-vitesse\src\pages\help.vue", "vue", 0, 0, 0, 45, 0, 0, 0, 0, 0, 2, 47
"d:\workspace\economy34-vitesse\src\pages\heritage\index.vue", "vue", 0, 0, 0, 152, 0, 0, 0, 0, 0, 14, 166
"d:\workspace\economy34-vitesse\src\pages\index.vue", "vue", 0, 0, 0, 132, 0, 0, 0, 0, 0, 10, 142
"d:\workspace\economy34-vitesse\src\pages\intensity\index.vue", "vue", 0, 0, 0, 91, 0, 0, 0, 0, 0, 9, 100
"d:\workspace\economy34-vitesse\src\pages\origin\index.vue", "vue", 0, 0, 0, 106, 0, 0, 0, 0, 0, 10, 116
"d:\workspace\economy34-vitesse\src\pages\talents.vue", "vue", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\workspace\economy34-vitesse\src\pages\talents\defense.vue", "vue", 0, 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"d:\workspace\economy34-vitesse\src\pages\talents\home.vue", "vue", 0, 0, 0, 68, 0, 0, 0, 0, 0, 8, 76
"d:\workspace\economy34-vitesse\src\pages\talents\perks.vue", "vue", 0, 0, 0, 53, 0, 0, 0, 0, 0, 9, 62
"d:\workspace\economy34-vitesse\src\pages\talents\ride.vue", "vue", 0, 0, 0, 177, 0, 0, 0, 0, 0, 14, 191
"d:\workspace\economy34-vitesse\src\pages\talents\specific.vue", "vue", 0, 0, 0, 154, 0, 0, 0, 0, 0, 17, 171
"d:\workspace\economy34-vitesse\src\pages\talents\talent.vue", "vue", 0, 0, 0, 66, 0, 0, 0, 0, 7, 11, 84
"d:\workspace\economy34-vitesse\src\pages\world\index.vue", "vue", 0, 0, 0, 127, 0, 0, 0, 0, 0, 15, 142
"d:\workspace\economy34-vitesse\src\store\play.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\workspace\economy34-vitesse\src\store\saves.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\workspace\economy34-vitesse\src\store\store.ts", "TypeScript", 243, 0, 0, 0, 0, 0, 0, 0, 0, 45, 288
"d:\workspace\economy34-vitesse\src\styles\main.css", "PostCSS", 0, 0, 0, 0, 0, 233, 0, 0, 0, 40, 273
"d:\workspace\economy34-vitesse\tsconfig.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 5, 0, 26
"d:\workspace\economy34-vitesse\vite.config.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 7, 12, 85
"d:\workspace\economy34-vitesse\windi.config.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"Total", "-", 4527, 35, 156255, 5276, 52, 233, 3040, 4, 61, 1494, 170977
